1,Windows 7 or 10 (64-bit),Intel Core i5-3570K or AMD FX-8310,8 GB RAM,NVIDIA GeForce GTX 780 3GB or AMD Radeon RX 470,70 GB
2,Windows 10 (64-bit),AMD Ryzen 7 1700 or Intel Core i7-6700K,8 GB RAM,AMD Radeon RX Vega 64 or NVIDIA GeForce GTX 1080,50 GB
3,Windows 7 or 10 (64-bit),Intel Core i5-2500K or AMD Ryzen R5 1600X,12 GB RAM,NVIDIA GeForce GTX 970 or AMD Radeon R9 390,175 GB
4,Windows 7 or 10 (64-bit),Intel Core i3-6100 or AMD Phenom II X4 965,8 GB RAM,NVIDIA GTX 460 or AMD Radeon R7 260,50 GB
5,PlayStation 4: 50 GB minimum, DualShock 4 controller. PlayStation 5: 50 GB minimum, DualSense controller.
6,PlayStation 4: 100 GB minimum, DualShock 4 controller. PlayStation 5: 100 GB minimum, DualSense controller.
7,PlayStation 4: 50 GB minimum, DualShock 4 controller. PlayStation 5: 50 GB minimum, DualSense controller.
8,Windows 7 or 10 (64-bit),Intel Core i5-2500K or AMD FX-6300,8 GB RAM,NVIDIA GeForce GTX 660 or AMD Radeon HD 7870,150 GB
9,Windows 7, 8.1 or 10 (64-bit),Intel CPU Core i5-2500K 3.3GHz or AMD CPU Phenom II X4 940,6 GB RAM,NVIDIA GPU GeForce GTX 660 or AMD GPU Radeon HD 7870,35 GB
10,Windows 7 or 10 (64-bit),Intel Core 2 Quad Q6600 or AMD Phenom 9850,4 GB RAM,NVIDIA 9800 GT 1GB or AMD HD 4870 1GB,72 GB
